,,,Type of feature,
1,gmDate,2016-10-25,Game,
2,gmTime,08:00,Game,
3,teamAbbr,CLE,Game,
4,teamConf,East,Game,
5,teamDiv,Central,Game,
6,teamLoc,Home,Game,
7,teamRslt,Win,TO PREDICT,
8,teamMin,241,NA,
9,teamDayOff,0,Game,
10,teamPTS,117,Replace,Team PPG
11,teamAST,31,Replace,Team APG
12,teamTO,15,Replace,Team TOPG
13,teamSTL,12,Replace,Team STLPG
14,teamBLK,5,Replace,Team BLKPG
15,teamPF,22,Replace,Team PFPG
16,teamFGA,94,Replace,
17,teamFGM,45,Replace,
18,teamFG%,0.4787,Derived,
19,team2PA,59,Replace,
20,team2PM,32,Replace,
21,team2P%,0.5424,Derived,
22,team3PA,35,Replace,
23,team3PM,13,Replace,
24,team3P%,0.3714,Derived,
25,teamFTA,19,Replace,
26,teamFTM,14,Replace,
27,teamFT%,0.7368,Derived,
28,teamORB,11,Replace,
29,teamDRB,40,Replace,
30,teamTRB,51,Derived,
31,teamPTS1,28,Replace,
32,teamPTS2,20,Replace,
33,teamPTS3,34,Replace,
34,teamPTS4,35,Replace,
35,teamPTS5,0,Discard,
36,teamPTS6,0,Discard,
37,teamPTS7,0,Discard,
38,teamPTS8,0,Discard,
39,teamTREB%,54.8387,Derived,
40,teamASST%,68.8889,Derived,
41,teamTS%,0.5715,Advanced,
42,teamEFG%,0.5479,Advanced,
43,teamOREB%,27.5,Derived,
44,teamDREB%,75.4717,Derived,
45,teamTO%,12.7812,Advanced,
46,teamSTL%,11.9554,Derived,
47,teamBLK%,4.9814,Derived,
48,teamBLKR,8.4746,Derived,
49,teamPPS,1.2447,Derived,
50,teamFIC,102.375,Advanced,
51,teamFIC40,84.9585,Advanced,
52,teamOrtg,116.5653,Derived,
53,teamDrtg,87.6731,Derived,
54,teamEDiff,28.8922,Derived,
55,teamPlay%,0.4592,Advanced,
56,teamAR,20.8951,Advanced,
57,teamAST/TO,2.0667,Derived,
58,teamSTL/TO,80,Derived,
59,opptAbbr,NY,Game,
60,opptConf,East,Game,
61,opptDiv,Atlantic,Game,
62,opptLoc,Away,Game,
63,opptRslt,Loss,TO PREDICT,
64,opptMin,240,NA,
65,opptDayOff,0,Game,
66,opptPTS,88,Replace,Team PPG
67,opptAST,17,Replace,Team APG
68,opptTO,18,Replace,Team TOPG
69,opptSTL,6,Replace,Team STLPG
70,opptBLK,6,Replace,Team BLKPG
71,opptPF,22,Replace,Team PFPG
72,opptFGA,87,Replace,
73,opptFGM,32,Replace,
74,opptFG%,0.3678,Derived,
75,oppt2PA,60,Replace,
76,oppt2PM,23,Replace,
77,oppt2P%,0.3833,Derived,
78,oppt3PA,27,Replace,
79,oppt3PM,9,Replace,
80,oppt3P%,0.3333,Derived,
81,opptFTA,20,Replace,
82,opptFTM,15,Replace,
83,opptFT%,0.75,Derived,
84,opptORB,13,Replace,
85,opptDRB,29,Replace,
86,opptTRB,42,Derived,
87,opptPTS1,18,Replace,
88,opptPTS2,27,Replace,
89,opptPTS3,19,Replace,
90,opptPTS4,24,Replace,
91,opptPTS5,0,Discard,
92,opptPTS6,0,Discard,
93,opptPTS7,0,Discard,
94,opptPTS8,0,Discard,
95,opptTREB%,45.1613,Derived,
96,opptASST%,53.125,Derived,
97,opptTS%,0.4593,Advanced,
98,opptEFG%,0.4195,Advanced,
99,opptOREB%,30.9524,Derived,
100,opptDREB%,69.0476,Derived,
101,opptTO%,15.8172,Advanced,
102,opptSTL%,5.9777,Derived,
103,opptBLK%,5.9777,Derived,
104,opptBLKR,10,Derived,
105,opptPPS,1.0115,Derived,
106,opptFIC,50,Advanced,
107,opptFIC40,41.6667,Advanced,
108,opptOrtg,87.6731,Derived,
109,opptDrtg,116.5653,Derived,
110,opptEDiff,-28.8922,Derived,
111,opptPlay%,0.3478,Advanced,
112,opptAR,12.9969,Advanced,
113,opptAST/TO,0.9444,Derived,
114,opptSTL/TO,33.3333,Derived,
115,poss,100.3729,NA,
116,pace,99.9564,NA,
box score headers categories
