,gmDate,gmTime,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,team2PA,team2PM,team3PA,team3PM,teamFTA,teamFTM,teamORB,teamDRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,oppt2PA,oppt2PM,oppt3PA,oppt3PM,opptFTA,opptFTM,opptORB,opptDRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4
0,2016-10-25,08:00,NY,East,Atlantic,Away,Loss,0,88,17,18,6,6,22,87,32,60,23,27,9,20,15,13,29,18,27,19,24,CLE,East,Central,Home,Win,0,117,31,15,12,5,22,94,45,59,32,35,13,19,14,11,40,28,20,34,35
1,2016-10-25,08:00,CLE,East,Central,Home,Win,0,117,31,15,12,5,22,94,45,59,32,35,13,19,14,11,40,28,20,34,35,NY,East,Atlantic,Away,Loss,0,88,17,18,6,6,22,87,32,60,23,27,9,20,15,13,29,18,27,19,24
2,2016-10-25,10:00,UTA,West,Northwest,Away,Loss,0,104,19,14,9,5,19,82,40,58,32,24,8,16,16,6,25,26,20,37,21,POR,West,Northwest,Home,Win,0,113,22,13,5,3,18,75,39,56,26,19,13,22,22,5,29,26,28,23,36
3,2016-10-25,10:00,POR,West,Northwest,Home,Win,0,113,22,13,5,3,18,75,39,56,26,19,13,22,22,5,29,26,28,23,36,UTA,West,Northwest,Away,Loss,0,104,19,14,9,5,19,82,40,58,32,24,8,16,16,6,25,26,20,37,21
4,2016-10-25,10:30,SA,West,Southwest,Away,Win,0,129,25,14,13,3,19,98,47,74,35,24,12,26,23,21,34,31,33,33,32,GS,West,Pacific,Home,Loss,0,100,24,16,11,6,19,85,40,52,33,33,7,18,13,8,27,20,26,31,23
5,2016-10-25,10:30,GS,West,Pacific,Home,Loss,0,100,24,16,11,6,19,85,40,52,33,33,7,18,13,8,27,20,26,31,23,SA,West,Southwest,Away,Win,0,129,25,14,13,3,19,98,47,74,35,24,12,26,23,21,34,31,33,33,32
6,2016-10-26,07:00,DAL,West,Southwest,Away,Loss,0,121,26,15,8,8,27,104,45,56,27,48,18,18,13,10,39,21,31,33,30,IND,East,Central,Home,Win,0,130,30,16,11,6,23,93,47,74,37,19,10,34,26,8,44,33,26,35,21
7,2016-10-26,07:00,IND,East,Central,Home,Win,0,130,30,16,11,6,23,93,47,74,37,19,10,34,26,8,44,33,26,35,21,DAL,West,Southwest,Away,Loss,0,121,26,15,8,8,27,104,45,56,27,48,18,18,13,10,39,21,31,33,30
8,2016-10-26,07:00,MIA,East,Southeast,Away,Win,0,108,27,12,5,7,22,97,47,81,43,16,4,16,10,16,36,23,27,30,28,ORL,East,Southeast,Home,Loss,0,96,20,11,5,4,15,88,34,71,28,17,6,28,22,14,30,27,26,16,27
9,2016-10-26,07:00,ORL,East,Southeast,Home,Loss,0,96,20,11,5,4,15,88,34,71,28,17,6,28,22,14,30,27,26,16,27,MIA,East,Southeast,Away,Win,0,108,27,12,5,7,22,97,47,81,43,16,4,16,10,16,36,23,27,30,28
10,2016-10-26,07:30,BKN,East,Atlantic,Away,Loss,0,117,22,16,8,3,19,97,43,53,28,44,15,20,16,15,29,31,27,23,36,BOS,East,Atlantic,Home,Win,0,122,36,19,13,9,20,89,48,57,37,32,11,18,15,12,35,33,31,33,25
11,2016-10-26,07:30,BOS,East,Atlantic,Home,Win,0,122,36,19,13,9,20,89,48,57,37,32,11,18,15,12,35,33,31,33,25,BKN,East,Atlantic,Away,Loss,0,117,22,16,8,3,19,97,43,53,28,44,15,20,16,15,29,31,27,23,36
12,2016-10-26,07:30,DET,East,Central,Away,Loss,0,91,17,14,8,0,24,84,35,62,31,22,4,22,17,8,32,23,23,25,20,TOR,East,Atlantic,Home,Win,0,109,17,12,8,0,22,86,41,68,38,18,3,29,24,14,37,33,25,28,23
13,2016-10-26,07:30,TOR,East,Atlantic,Home,Win,0,109,17,12,8,0,22,86,41,68,38,18,3,29,24,14,37,33,25,28,23,DET,East,Central,Away,Loss,0,91,17,14,8,0,24,84,35,62,31,22,4,22,17,8,32,23,23,25,20
14,2016-10-26,08:00,MIN,West,Northwest,Away,Loss,0,98,20,11,6,5,23,86,36,68,30,18,6,29,20,15,30,32,27,16,23,MEM,West,Southwest,Home,Win,0,102,19,13,6,11,25,80,36,56,25,24,11,27,19,11,34,29,21,26,26
15,2016-10-26,08:00,MEM,West,Southwest,Home,Win,0,102,19,13,6,11,25,80,36,56,25,24,11,27,19,11,34,29,21,26,26,MIN,West,Northwest,Away,Loss,0,98,20,11,6,5,23,86,36,68,30,18,6,29,20,15,30,32,27,16,23
16,2016-10-26,08:00,CHA,East,Southeast,Away,Win,0,107,27,10,5,10,22,89,40,66,33,23,7,24,20,11,40,32,24,27,24,MIL,East,Central,Home,Loss,0,96,23,8,4,5,22,92,39,76,36,16,3,20,15,10,36,24,17,25,30
17,2016-10-26,08:00,MIL,East,Central,Home,Loss,0,96,23,8,4,5,22,92,39,76,36,16,3,20,15,10,36,24,17,25,30,CHA,East,Southeast,Away,Win,0,107,27,10,5,10,22,89,40,66,33,23,7,24,20,11,40,32,24,27,24
18,2016-10-26,08:00,DEN,West,Northwest,Away,Win,0,107,18,25,7,2,22,83,37,59,29,24,8,33,25,11,47,30,30,25,22,NO,West,Southwest,Home,Loss,0,102,31,11,16,5,29,92,38,73,35,19,3,26,23,5,29,24,24,29,25
19,2016-10-26,08:00,NO,West,Southwest,Home,Loss,0,102,31,11,16,5,29,92,38,73,35,19,3,26,23,5,29,24,24,29,25,DEN,West,Northwest,Away,Win,0,107,18,25,7,2,22,83,37,59,29,24,8,33,25,11,47,30,30,25,22
20,2016-10-26,08:00,OKC,West,Northwest,Away,Win,0,103,19,10,7,3,23,94,39,72,33,22,6,26,19,13,40,23,28,18,34,PHI,East,Atlantic,Home,Loss,0,97,21,14,5,10,22,84,36,60,29,24,7,25,18,5,38,24,27,24,22
21,2016-10-26,08:00,PHI,East,Atlantic,Home,Loss,0,97,21,14,5,10,22,84,36,60,29,24,7,25,18,5,38,24,27,24,22,OKC,West,Northwest,Away,Win,0,103,19,10,7,3,23,94,39,72,33,22,6,26,19,13,40,23,28,18,34
22,2016-10-26,10:00,SAC,West,Pacific,Away,Win,0,113,24,14,5,5,20,86,44,65,38,21,6,26,19,10,31,30,27,27,29,PHO,West,Pacific,Home,Loss,0,94,20,18,6,3,29,77,36,61,32,16,4,27,18,10,31,19,19,29,27
23,2016-10-26,10:00,PHO,West,Pacific,Home,Loss,0,94,20,18,6,3,29,77,36,61,32,16,4,27,18,10,31,19,19,29,27,SAC,West,Pacific,Away,Win,0,113,24,14,5,5,20,86,44,65,38,21,6,26,19,10,31,30,27,27,29
24,2016-10-26,10:30,HOU,West,Southwest,Away,Loss,0,114,29,15,10,1,23,86,44,57,37,29,7,27,19,10,29,38,33,25,18,LAL,West,Pacific,Home,Win,0,120,21,16,10,4,24,89,45,54,33,35,12,22,18,11,28,38,25,27,30
25,2016-10-26,10:30,LAL,West,Pacific,Home,Win,0,120,21,16,10,4,24,89,45,54,33,35,12,22,18,11,28,38,25,27,30,HOU,West,Southwest,Away,Loss,0,114,29,15,10,1,23,86,44,57,37,29,7,27,19,10,29,38,33,25,18
26,2016-10-27,07:30,WAS,East,Southeast,Away,Loss,0,99,25,19,14,4,20,94,40,74,34,20,6,18,13,12,28,27,29,24,19,ATL,East,Southeast,Home,Win,0,114,28,21,13,7,19,88,44,62,32,26,12,18,14,14,38,29,28,24,33
27,2016-10-27,07:30,ATL,East,Southeast,Home,Win,0,114,28,21,13,7,19,88,44,62,32,26,12,18,14,14,38,29,28,24,33,WAS,East,Southeast,Away,Loss,0,99,25,19,14,4,20,94,40,74,34,20,6,18,13,12,28,27,29,24,19
28,2016-10-27,08:00,BOS,East,Atlantic,Away,Loss,1,99,22,12,6,6,25,76,38,53,30,23,8,24,15,3,33,20,29,24,26,CHI,East,Central,Home,Win,0,105,25,12,5,1,21,92,36,67,25,25,11,30,22,18,37,30,27,22,26
29,2016-10-27,08:00,CHI,East,Central,Home,Win,0,105,25,12,5,1,21,92,36,67,25,25,11,30,22,18,37,30,27,22,26,BOS,East,Atlantic,Away,Loss,1,99,22,12,6,6,25,76,38,53,30,23,8,24,15,3,33,20,29,24,26
30,2016-10-27,10:30,LAC,West,Pacific,Away,Win,0,114,12,8,10,4,25,91,37,62,29,29,8,46,32,15,33,28,30,24,32,POR,West,Northwest,Home,Loss,2,106,18,15,4,4,34,85,39,67,35,18,4,32,24,9,39,27,22,33,24
31,2016-10-27,10:30,POR,West,Northwest,Home,Loss,2,106,18,15,4,4,34,85,39,67,35,18,4,32,24,9,39,27,22,33,24,LAC,West,Pacific,Away,Win,0,114,12,8,10,4,25,91,37,62,29,29,8,46,32,15,33,28,30,24,32
32,2016-10-27,10:30,SA,West,Southwest,Away,Win,2,102,23,10,10,8,26,79,36,61,30,18,6,27,24,9,31,27,26,23,26,SAC,West,Pacific,Home,Loss,1,94,22,16,7,0,21,70,28,50,22,20,6,38,32,6,34,29,28,14,23
33,2016-10-27,10:30,SAC,West,Pacific,Home,Loss,1,94,22,16,7,0,21,70,28,50,22,20,6,38,32,6,34,29,28,14,23,SA,West,Southwest,Away,Win,2,102,23,10,10,8,26,79,36,61,30,18,6,27,24,9,31,27,26,23,26
34,2016-10-28,07:00,CLE,East,Central,Away,Win,2,94,20,18,8,3,15,79,33,47,21,32,12,22,16,9,31,28,22,21,23,TOR,East,Atlantic,Home,Loss,1,91,12,18,9,3,20,90,35,74,31,16,4,18,17,18,33,23,17,27,24
35,2016-10-28,07:00,TOR,East,Atlantic,Home,Loss,1,91,12,18,9,3,20,90,35,74,31,16,4,18,17,18,33,23,17,27,24,CLE,East,Central,Away,Win,2,94,20,18,8,3,15,79,33,47,21,32,12,22,16,9,31,28,22,21,23
36,2016-10-28,07:30,IND,East,Central,Away,Loss,2,94,22,13,7,6,22,98,37,74,30,24,7,20,13,14,35,27,21,31,15,BKN,East,Atlantic,Home,Win,2,103,20,16,6,4,23,87,38,54,28,33,10,20,17,12,40,20,32,20,31
37,2016-10-28,07:30,BKN,East,Atlantic,Home,Win,2,103,20,16,6,4,23,87,38,54,28,33,10,20,17,12,40,20,32,20,31,IND,East,Central,Away,Loss,2,94,22,13,7,6,22,98,37,74,30,24,7,20,13,14,35,27,21,31,15
38,2016-10-28,07:30,ORL,East,Southeast,Away,Loss,2,82,20,9,8,3,13,95,33,69,25,26,8,12,8,14,30,22,9,20,31,DET,East,Central,Home,Win,2,108,27,12,8,4,11,95,48,76,41,19,7,6,5,9,44,24,30,32,22
39,2016-10-28,07:30,DET,East,Central,Home,Win,2,108,27,12,8,4,11,95,48,76,41,19,7,6,5,9,44,24,30,32,22,ORL,East,Southeast,Away,Loss,2,82,20,9,8,3,13,95,33,69,25,26,8,12,8,14,30,22,9,20,31
40,2016-10-28,08:00,CHA,East,Southeast,Away,Win,2,97,20,8,10,9,20,92,35,70,28,22,7,24,20,13,36,21,25,27,24,MIA,East,Southeast,Home,Loss,2,91,19,20,2,4,23,86,32,52,18,34,14,20,13,11,41,23,34,20,14
41,2016-10-28,08:00,MIA,East,Southeast,Home,Loss,2,91,19,20,2,4,23,86,32,52,18,34,14,20,13,11,41,23,34,20,14,CHA,East,Southeast,Away,Win,2,97,20,8,10,9,20,92,35,70,28,22,7,24,20,13,36,21,25,27,24
42,2016-10-28,08:00,PHO,West,Pacific,Away,Loss,1,110,15,15,11,3,29,94,42,66,37,28,5,32,21,7,37,40,13,30,19,OKC,West,Northwest,Home,Win,2,113,13,22,11,3,24,96,40,75,35,21,5,38,28,14,43,25,24,28,25
43,2016-10-28,08:00,OKC,West,Northwest,Home,Win,2,113,13,22,11,3,24,96,40,75,35,21,5,38,28,14,43,25,24,28,25,PHO,West,Pacific,Away,Loss,1,110,15,15,11,3,29,94,42,66,37,28,5,32,21,7,37,40,13,30,19
44,2016-10-28,08:30,HOU,West,Southwest,Away,Win,1,106,21,19,6,1,22,70,33,38,18,32,15,31,25,5,36,24,28,25,29,DAL,West,Southwest,Home,Loss,2,98,13,10,11,2,21,80,35,51,27,29,8,24,20,6,28,24,26,17,31
